commit,HIGH_severity,MEDIUM_severity,LOW_severity,HIGH_confidence,MEDIUM_confidence,LOW_confidence,CWEs,No. of CWEs
526ed94a63db2f00d87715d6dce39f55c777e8f1,29,18,1429,1450,19,7,"377,327,20,703,22,259,502,400,295,330,78,94",12
30930e0e6959bc37fa4d513cf6ea932ace7aa7c9,29,18,1429,1450,19,7,"377,327,20,703,22,259,502,400,295,330,78,94",12
0df373899d65dcf4ec14cfcf656c6b4dc4bbd9f8,29,18,1429,1450,19,7,"377,327,20,703,22,259,502,400,295,330,78,94",12
dd2f21fac27d628f6bcdd76e158bbd4cb8038a51,29,18,1429,1450,19,7,"377,327,20,703,22,259,502,400,295,330,78,94",12
0d7160e3a0f5bb088d995be7dac4cd63b86c7c8d,29,18,1429,1450,19,7,"377,327,20,703,22,259,502,400,295,330,78,94",12
349c212f45c71378a19a61f5486b1f96a924d5dd,29,18,1429,1450,19,7,"377,327,20,703,22,259,502,400,295,330,78,94",12
9ae590bc7edd4b375a360bdcd64c200b27d944eb,29,18,1430,1451,19,7,"377,327,20,703,22,259,502,400,295,330,78,94",12
05471b5caa1e0d9039a4d606df91ef1a6296b099,29,18,1430,1451,19,7,"377,327,20,703,22,259,502,400,295,330,78,94",12
e9677096aa5ca5dbdc0bd2fb9b177c72b2588cfb,29,18,1430,1451,19,7,"377,327,20,703,22,259,502,400,295,330,78,94",12
fad009d86b309c95cd035daa0e954bc51082a438,29,18,1430,1451,19,7,"377,327,20,703,22,259,502,400,295,330,78,94",12
68446c7608bc8880a0b2b7fc334fbd520fbe61a3,29,18,1430,1451,19,7,"377,327,20,703,22,259,502,400,295,330,78,94",12
c3e20ae50f41b9b7b7612df3c6c5c981de9f99e1,29,18,1425,1446,19,7,"377,327,20,703,22,259,502,400,295,330,78,94",12
e53e245db5f758909647735f954a7dd88ea42d3e,29,18,1432,1453,19,7,"377,327,20,703,22,259,502,400,295,330,78,94",12
34c56e344cdb55c2109a8e421035708360c4d974,29,18,1432,1453,19,7,"377,327,20,703,22,259,502,400,295,330,78,94",12
73faed91cb9a95af82e5888c8ef727f402cb0382,29,18,1432,1453,19,7,"377,327,20,703,22,259,502,400,295,330,78,94",12
06c2566431cb462502d4abafc53bd37a22b6b283,29,18,1432,1453,19,7,"377,327,20,703,22,259,502,400,295,330,78,94",12
56c2c7d5a227c964bcfea987980ec1fa7b028bef,29,18,1432,1453,19,7,"377,327,20,703,22,259,502,400,295,330,78,94",12
265ca2880efe377cbe57bd73fc87e0fa1eb84029,29,18,1432,1453,19,7,"377,327,20,703,22,259,502,400,295,330,78,94",12
9f7a62e653733ee5b32b37a6671e8cff16490632,29,18,1432,1453,19,7,"377,327,20,703,22,259,502,400,295,330,78,94",12
7154c73e47812fee75e60f83c22d8ddd45c74f89,29,18,1432,1453,19,7,"377,327,20,703,22,259,502,400,295,330,78,94",12
0624022198b7d233871055271ddef807ee1d423d,29,18,1432,1453,19,7,"377,327,20,703,22,259,502,400,295,330,78,94",12
4fa55521a47a6c96bf2f1c43de0f979e9df61855,29,18,1432,1453,19,7,"377,327,20,703,22,259,502,400,295,330,78,94",12
2749a9d04148895013b12d86d6fe84cfb55f44a6,29,18,1432,1453,19,7,"377,327,20,703,22,259,502,400,295,330,78,94",12
a65d4b28b172c8a9a4ace476af4ae60c1ac2c781,29,18,1440,1461,19,7,"377,327,20,703,22,259,502,400,295,330,78,94",12
4ad9924532d4af362ae8697025cc69d0e22218bd,29,18,1440,1461,19,7,"377,327,20,703,22,259,502,400,295,330,78,94",12
6011d4ca7a9e1de66c46412e42903f4580fdf5e1,29,18,1440,1461,19,7,"377,327,20,703,22,259,502,400,295,330,78,94",12
