Project Name,Package Name,Type Name,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,YALCOM
sql2o,org.sql2o,ArrayParameters,8.0,0.0,2.0,1.0,0.4166666666666667,0.0
sql2o,org.sql2o,ArrayParameter,0.0,0.0,1.0,1.0,0.5,0.0
sql2o,org.sql2o,Connection,476.0,391.0,6.0,3.0,0.9184149184149184,0.08823529411764706
sql2o,org.sql2o,DefaultResultSetHandlerFactory,0.0,0.0,1.0,1.0,-0.0,0.0
sql2o,org.sql2o,DefaultResultSetHandlerFactoryBuilder,42.0,29.0,2.0,2.0,0.82,0.18181818181818182
sql2o,org.sql2o,GenericDatasource,88.0,71.0,9.0,8.0,0.75,0.5333333333333333
sql2o,org.sql2o,JndiDataSource,0.0,0.0,1.0,1.0,0.0,0.0
sql2o,org.sql2o,NamingConvention,0.0,0.0,1.0,1.0,-0.0,0.0
sql2o,org.sql2o,PojoResultSetIterator,0.0,0.0,1.0,1.0,-0.0,0.0
sql2o,org.sql2o,Query,4424.0,4095.0,42.0,15.0,0.9641416405199462,0.15306122448979592
sql2o,org.sql2o,ResultSetIterableBase,4.0,2.0,2.0,1.0,0.6666666666666666,0.0
sql2o,org.sql2o,ParameterSetter,3.0,3.0,3.0,3.0,1.0,1.0
sql2o,org.sql2o,ResultSetHandler,0.0,0.0,1.0,1.0,0.0,-1.0
sql2o,org.sql2o,ResultSetHandlerFactory,0.0,0.0,1.0,1.0,0.0,-1.0
sql2o,org.sql2o,ResultSetHandlerFactoryBuilder,55.0,0.0,11.0,11.0,0.0,-1.0
sql2o,org.sql2o,ResultSetIterable,3.0,0.0,3.0,3.0,0.0,-1.0
sql2o,org.sql2o,ResultSetIteratorBase,22.0,16.0,3.0,2.0,0.8775510204081632,0.25
sql2o,org.sql2o,ResultSetValue,0.0,0.0,1.0,1.0,0.0,0.0
sql2o,org.sql2o,Settings,3.0,0.0,1.0,1.0,0.6666666666666666,0.0
sql2o,org.sql2o,Sql2o,437.0,409.0,20.0,10.0,0.9333333333333333,0.3225806451612903
sql2o,org.sql2o,Sql2oException,6.0,0.0,4.0,4.0,0.0,1.0
sql2o,org.sql2o,StatementRunnable,0.0,0.0,1.0,1.0,0.0,-1.0
sql2o,org.sql2o,StatementRunnableWithResult,0.0,0.0,1.0,1.0,0.0,-1.0
sql2o,org.sql2o,ArrayParametersTest,3.0,0.0,3.0,3.0,0.0,1.0
sql2o,org.sql2o,BaseMemDbTest,2.0,1.0,2.0,2.0,0.7,0.6666666666666666
sql2o,org.sql2o,CIEntity,0.0,0.0,4.0,4.0,1.5,0.0
sql2o,org.sql2o,ColumnEntity,4.0,2.0,2.0,2.0,0.6666666666666666,0.5
sql2o,org.sql2o,ConnectionTest,6.0,0.0,4.0,4.0,0.0,1.0
sql2o,org.sql2o,MyException,0.0,0.0,0.0,0.0,0.0,-1.0
sql2o,org.sql2o,ConnectionTransactionTest,0.0,0.0,1.0,1.0,0.0,0.0
sql2o,org.sql2o,Entity,12.0,9.0,6.0,6.0,1.0,0.5
sql2o,org.sql2o,H2ArgumentsSourceProvider,0.0,0.0,1.0,1.0,0.0,0.0
sql2o,org.sql2o,JodaEntity,0.0,0.0,3.0,3.0,1.3333333333333335,0.0
sql2o,org.sql2o,QueryArrayTest,0.0,0.0,2.0,2.0,1.0,0.0
sql2o,org.sql2o,Foo,0.0,0.0,1.0,1.0,0.0,-1.0
sql2o,org.sql2o,QueryFilterStaticFieldsTest,0.0,0.0,1.0,1.0,1.0,0.0
sql2o,org.sql2o,Entity,0.0,0.0,1.0,1.0,0.0,0.0
sql2o,org.sql2o,QueryTest,0.0,0.0,1.0,1.0,0.0,0.0
sql2o,org.sql2o,Sql2oDataSourceTest,2.0,1.0,2.0,2.0,0.875,0.6666666666666666
sql2o,org.sql2o,Sql2oTest,3367.0,3331.0,69.0,52.0,0.9870875179340028,0.13253012048192772
sql2o,org.sql2o,runnerWithResultTester,0.0,0.0,1.0,1.0,0.0,0.0
sql2o,org.sql2o,EntityWithEnum,0.0,0.0,3.0,3.0,0.0,-1.0
sql2o,org.sql2o,BooleanPOJO,0.0,0.0,2.0,2.0,0.0,-1.0
sql2o,org.sql2o,BlobPOJO1,0.0,0.0,2.0,2.0,0.0,-1.0
sql2o,org.sql2o,BlobPOJO2,0.0,0.0,2.0,2.0,0.0,-1.0
sql2o,org.sql2o,BindablePojo,14.0,7.0,2.0,2.0,0.7916666666666666,0.2857142857142857
sql2o,org.sql2o,LocalPojo,2.0,1.0,2.0,2.0,0.75,0.6666666666666666
